lon,lat,name
105.14999999999914,-5.849999999999927,point_1
105.24999999999913,-5.849999999999927,point_2
105.34999999999913,-5.849999999999927,point_3
105.44999999999912,-5.849999999999927,point_4
105.54999999999912,-5.849999999999927,point_5
105.64999999999911,-5.849999999999927,point_6
105.7499999999991,-5.849999999999927,point_7
105.8499999999991,-5.849999999999927,point_8
105.9499999999991,-5.849999999999927,point_9
106.04999999999909,-5.849999999999927,point_10
106.14999999999908,-5.849999999999927,point_11
106.24999999999908,-5.849999999999927,point_12
106.34999999999907,-5.849999999999927,point_13
106.44999999999906,-5.849999999999927,point_14
106.54999999999906,-5.849999999999927,point_15
106.64999999999905,-5.849999999999927,point_16
106.74999999999905,-5.849999999999927,point_17
106.84999999999904,-5.849999999999927,point_18
106.94999999999904,-5.849999999999927,point_19
107.04999999999903,-5.849999999999927,point_20
107.14999999999903,-5.849999999999927,point_21
107.24999999999902,-5.849999999999927,point_22
107.34999999999901,-5.849999999999927,point_23
105.14999999999914,-5.949999999999925,point_24
105.24999999999913,-5.949999999999925,point_25
105.34999999999913,-5.949999999999925,point_26
105.44999999999912,-5.949999999999925,point_27
105.54999999999912,-5.949999999999925,point_28
105.64999999999911,-5.949999999999925,point_29
105.7499999999991,-5.949999999999925,point_30
105.8499999999991,-5.949999999999925,point_31
105.9499999999991,-5.949999999999925,point_32
106.04999999999909,-5.949999999999925,point_33
106.14999999999908,-5.949999999999925,point_34
106.24999999999908,-5.949999999999925,point_35
106.34999999999907,-5.949999999999925,point_36
106.44999999999906,-5.949999999999925,point_37
106.54999999999906,-5.949999999999925,point_38
106.64999999999905,-5.949999999999925,point_39
106.74999999999905,-5.949999999999925,point_40
106.84999999999904,-5.949999999999925,point_41
106.94999999999904,-5.949999999999925,point_42
107.04999999999903,-5.949999999999925,point_43
107.14999999999903,-5.949999999999925,point_44
107.24999999999902,-5.949999999999925,point_45
107.34999999999901,-5.949999999999925,point_46
105.14999999999914,-6.0499999999999226,point_47
105.24999999999913,-6.0499999999999226,point_48
105.34999999999913,-6.0499999999999226,point_49
105.44999999999912,-6.0499999999999226,point_50
105.54999999999912,-6.0499999999999226,point_51
105.64999999999911,-6.0499999999999226,point_52
105.7499999999991,-6.0499999999999226,point_53
105.8499999999991,-6.0499999999999226,point_54
105.9499999999991,-6.0499999999999226,point_55
106.04999999999909,-6.0499999999999226,point_56
106.14999999999908,-6.0499999999999226,point_57
106.24999999999908,-6.0499999999999226,point_58
106.34999999999907,-6.0499999999999226,point_59
106.44999999999906,-6.0499999999999226,point_60
106.54999999999906,-6.0499999999999226,point_61
106.64999999999905,-6.0499999999999226,point_62
106.74999999999905,-6.0499999999999226,point_63
106.84999999999904,-6.0499999999999226,point_64
106.94999999999904,-6.0499999999999226,point_65
107.04999999999903,-6.0499999999999226,point_66
107.14999999999903,-6.0499999999999226,point_67
107.24999999999902,-6.0499999999999226,point_68
107.34999999999901,-6.0499999999999226,point_69
105.14999999999914,-6.149999999999924,point_70
105.24999999999913,-6.149999999999924,point_71
105.34999999999913,-6.149999999999924,point_72
105.44999999999912,-6.149999999999924,point_73
105.54999999999912,-6.149999999999924,point_74
105.64999999999911,-6.149999999999924,point_75
105.7499999999991,-6.149999999999924,point_76
105.8499999999991,-6.149999999999924,point_77
105.9499999999991,-6.149999999999924,point_78
106.04999999999909,-6.149999999999924,point_79
106.14999999999908,-6.149999999999924,point_80
106.24999999999908,-6.149999999999924,point_81
106.34999999999907,-6.149999999999924,point_82
106.44999999999906,-6.149999999999924,point_83
106.54999999999906,-6.149999999999924,point_84
106.64999999999905,-6.149999999999924,point_85
106.74999999999905,-6.149999999999924,point_86
106.84999999999904,-6.149999999999924,point_87
106.94999999999904,-6.149999999999924,point_88
107.04999999999903,-6.149999999999924,point_89
107.14999999999903,-6.149999999999924,point_90
107.24999999999902,-6.149999999999924,point_91
107.34999999999901,-6.149999999999924,point_92
105.14999999999914,-6.249999999999925,point_93
105.24999999999913,-6.249999999999925,point_94
105.34999999999913,-6.249999999999925,point_95
105.44999999999912,-6.249999999999925,point_96
105.54999999999912,-6.249999999999925,point_97
105.64999999999911,-6.249999999999925,point_98
105.7499999999991,-6.249999999999925,point_99
105.8499999999991,-6.249999999999925,point_100
105.9499999999991,-6.249999999999925,point_101
106.04999999999909,-6.249999999999925,point_102
106.14999999999908,-6.249999999999925,point_103
106.24999999999908,-6.249999999999925,point_104
106.34999999999907,-6.249999999999925,point_105
106.44999999999906,-6.249999999999925,point_106
106.54999999999906,-6.249999999999925,point_107
106.64999999999905,-6.249999999999925,point_108
106.74999999999905,-6.249999999999925,point_109
106.84999999999904,-6.249999999999925,point_110
106.94999999999904,-6.249999999999925,point_111
107.04999999999903,-6.249999999999925,point_112
107.14999999999903,-6.249999999999925,point_113
107.24999999999902,-6.249999999999925,point_114
107.34999999999901,-6.249999999999925,point_115
105.14999999999914,-6.349999999999923,point_116
105.24999999999913,-6.349999999999923,point_117
105.34999999999913,-6.349999999999923,point_118
105.44999999999912,-6.349999999999923,point_119
105.54999999999912,-6.349999999999923,point_120
105.64999999999911,-6.349999999999923,point_121
105.7499999999991,-6.349999999999923,point_122
105.8499999999991,-6.349999999999923,point_123
105.9499999999991,-6.349999999999923,point_124
106.04999999999909,-6.349999999999923,point_125
106.14999999999908,-6.349999999999923,point_126
106.24999999999908,-6.349999999999923,point_127
106.34999999999907,-6.349999999999923,point_128
106.44999999999906,-6.349999999999923,point_129
106.54999999999906,-6.349999999999923,point_130
106.64999999999905,-6.349999999999923,point_131
106.74999999999905,-6.349999999999923,point_132
106.84999999999904,-6.349999999999923,point_133
106.94999999999904,-6.349999999999923,point_134
107.04999999999903,-6.349999999999923,point_135
107.14999999999903,-6.349999999999923,point_136
107.24999999999902,-6.349999999999923,point_137
107.34999999999901,-6.349999999999923,point_138
105.14999999999914,-6.449999999999921,point_139
105.24999999999913,-6.449999999999921,point_140
105.34999999999913,-6.449999999999921,point_141
105.44999999999912,-6.449999999999921,point_142
105.54999999999912,-6.449999999999921,point_143
